property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,maruti vihar colony,sector 28,0.95,8886.0,1069.097456673419,Carpet area: 1069 (99.31 sq.m.),2.0,1.0,1,1.0,,Old Property,,,1069.0,0.0,0.0,0.0,0.0,0.0,1,59,534.5487283367095
flat,parsvnath exotica,sector 53,6.44,19000.0,3389.4736842105267,Super Built up area 3390(314.94 sq.m.),4.0,4.0,3,7.0,West,Moderately Old,3390.0,,,0.0,1.0,0.0,0.0,0.0,0,80,847.3684210526317
flat,silverglades the melia,sohna road,1.01,7000.0,1442.857142857143,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,3,12.0,,Under Construction,1450.0,,950.0,1.0,0.0,0.0,0.0,0.0,1,80,721.4285714285714
house,unitech nirvana birch court,sector 50,6.8,31481.0,2160.0,Plot area 240(200.67 sq.m.),4.0,4.0,3+,2.0,South-East,Old Property,,2160.0,,1.0,1.0,0.0,1.0,0.0,1,105,540.0
flat,parsvnath exotica,sector 53,5.0,17271.0,2895.026344739737,Super Built up area 2895(268.95 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,3+,8.0,North-East,Relatively New,2895.0,2500.0,2200.0,0.0,1.0,0.0,1.0,1.0,0,49,965.0087815799124
flat,gls avenue 51,sector 92,0.42,6562.0,640.0487656202378,Carpet area: 640 (59.46 sq.m.),3.0,3.0,1,2.0,,Relatively New,,,640.0,0.0,0.0,0.0,0.0,0.0,1,20,213.34958854007925
flat,orchid petals,sector 49,4.79,11628.0,4119.367045063639,Super Built up area 4115(382.3 sq.m.),5.0,5.0,3+,14.0,South,Relatively New,4115.0,,,1.0,1.0,0.0,1.0,0.0,1,49,823.8734090127278
flat,signature global orchard avenue,sector 93,0.36,6715.0,536.1131794489947,Carpet area: 543.53 (50.5 sq.m.),2.0,2.0,2,6.0,North,Relatively New,,,543.57695,0.0,0.0,0.0,0.0,0.0,1,16,268.05658972449737
flat,shapoorji pallonji joyville gurugram,sector 102,1.24,10205.0,1215.0906418422342,Super Built up area 1215(112.88 sq.m.),2.0,2.0,2,10.0,East,Relatively New,1215.0,,,0.0,0.0,0.0,0.0,0.0,1,141,607.5453209211171
flat,shree vardhman victoria,sector 70,1.1,8461.0,1300.082732537525,Carpet area: 1300 (120.77 sq.m.),2.0,2.0,2,8.0,North-East,Relatively New,,,1300.0,0.0,0.0,0.0,0.0,0.0,1,101,650.0413662687625
flat,la vida by tata housing,sector 113,3.35,16750.0,2000.0,Super Built up area 2691(250 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,4.0,3+,12.0,North-East,New Property,2691.0,2200.0,2000.0,1.0,1.0,0.0,0.0,0.0,1,174,666.6666666666666
flat,dlf new town heights,sector 90,1.9,6967.0,2727.1422419979904,Super Built up area 2727(253.35 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4.0,4.0,3+,19.0,North-East,Relatively New,2727.0,,2300.0,0.0,1.0,1.0,0.0,0.0,0,174,681.7855604994976
flat,vatika the seven lamps,sector 82,1.6,6597.0,2425.3448537213885,Super Built up area 2425(225.29 sq.m.),4.0,5.0,3+,8.0,South-West,Relatively New,2425.0,,,0.0,1.0,0.0,0.0,0.0,1,133,606.3362134303471
house,independent,sector 36,0.66,7166.0,921.0,Built Up area: 823 (76.46 sq.m.),2.0,2.0,3,4.0,,New Property,,823.0,,0.0,0.0,0.0,0.0,0.0,1,0,460.5
house,independent,sector 12,1.35,12217.0,1105.0,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),2.0,5.0,1,3.0,,Old Property,,2052.0,,0.0,0.0,0.0,0.0,0.0,1,31,552.5
flat,parsvnath exotica,sector 53,4.8,16580.0,2895.0542822677926,Super Built up area 2895(268.95 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,3+,8.0,North-East,Relatively New,2895.0,2500.0,2200.0,0.0,1.0,0.0,1.0,1.0,0,174,965.0180940892642
flat,pivotal devaan,sector 84,0.27,7964.0,339.0256152687092,Super Built up area 439(40.78 sq.m.)Carpet area: 339 sq.ft. (31.49 sq.m.),1.0,1.0,1,13.0,North-East,Relatively New,439.0,,339.0,0.0,0.0,0.0,0.0,0.0,2,45,339.0256152687092
flat,godrej nature plus,sector 33,1.25,9025.0,1385.0415512465374,Built Up area: 1385 (128.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,3,17.0,,Undefined,,1385.0,1000.0,0.0,0.0,0.0,0.0,0.0,1,56,692.5207756232687
flat,pareena mi casa,sector 68,1.7,8500.0,2000.0,Super Built up area 1999(185.71 sq.m.),4.0,4.0,3+,23.0,,New Property,1999.0,,,0.0,0.0,0.0,0.0,0.0,1,88,500.0
house,jacob pura,sector 12,0.35,9722.0,360.0,Built Up area: 360 (33.45 sq.m.),2.0,1.0,0,,,Old Property,,360.0,,0.0,0.0,0.0,0.0,0.0,1,0,180.0
flat,bestech park view sanskruti,sector 92,1.68,11052.0,1520.086862106406,Super Built up area 2120(196.95 sq.m.)Carpet area: 1520 sq.ft. (141.21 sq.m.),3.0,4.0,3+,15.0,East,Relatively New,2120.0,,1520.0,0.0,1.0,0.0,0.0,0.0,0,174,506.69562070213533
flat,paras dews,sector 106,1.1,9734.0,1130.0595849599342,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3.0,4.0,3+,8.0,North-West,Relatively New,1760.0,1186.0,1130.0,0.0,1.0,0.0,0.0,0.0,0,174,376.6865283199781
flat,ramsons kshitij,sector 95,0.4,5839.0,685.0488097276931,Carpet area: 685 (63.64 sq.m.),3.0,2.0,2,6.0,,Undefined,,,685.0,0.0,0.0,0.0,0.0,0.0,1,0,228.34960324256437
house,independent,sector 25,4.45,32963.0,1350.0,Plot area 150(125.42 sq.m.),4.0,3.0,3+,2.0,West,Moderately Old,,1350.0,,0.0,0.0,1.0,0.0,0.0,1,79,337.5
house,independent,sohna road road,0.5,5556.0,900.0,Plot area 900(83.61 sq.m.),2.0,1.0,2,1.0,,Moderately Old,,900.0,,0.0,0.0,0.0,0.0,0.0,1,0,450.0
flat,dlf the ultima,sector 81,2.28,10841.0,2103.1270178027853,Super Built up area 2103(195.38 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3.0,3.0,3+,14.0,East,Relatively New,2103.0,1750.0,1257.0,0.0,1.0,0.0,0.0,0.0,2,49,701.0423392675951
flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,0,1.0,West,Undefined,1000.0,,550.0,0.0,0.0,0.0,0.0,0.0,1,0,500.0
flat,ss,sector 85,2.1,7467.0,2812.3744475693047,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4.0,4.0,3,2.0,North-West,Relatively New,2812.0,2600.0,2400.0,0.0,0.0,0.0,0.0,0.0,1,49,703.0936118923262
flat,shapoorji pallonji joyville gurugram,sector 102,1.35,14754.0,915.006100040667,Super Built up area 915(85.01 sq.m.),2.0,2.0,2,10.0,,Under Construction,915.0,,,0.0,0.0,0.0,0.0,0.0,1,22,457.5030500203335
flat,prime habitat,sector 99a,0.32,4657.0,687.137642258965,Super Built up area 687(63.82 sq.m.)Built Up area: 601 sq.ft. (55.83 sq.m.)Carpet area: 448 sq.ft. (41.62 sq.m.),2.0,2.0,1,7.0,,Relatively New,687.0,601.0,448.0,0.0,0.0,0.0,0.0,0.0,1,44,343.5688211294825
flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10491.0,915.0700600514726,Super Built up area 915(85.01 sq.m.),2.0,2.0,2,10.0,East,Relatively New,915.0,,,0.0,0.0,0.0,0.0,0.0,1,132,457.5350300257363
flat,trisara our homes 3,sohna road,0.36,5980.0,602.0066889632106,Super Built up area 602(55.93 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),2.0,2.0,1,1.0,,New Property,602.0,,450.0,0.0,0.0,0.0,0.0,0.0,1,45,301.0033444816053
