property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 4,1.1,6111.0,4.0,4.0,3+,2.0,Old Property,1800.0,0.0,0.0,0.0,0.0,0.0,1,7
flat,smart world gems,sector 89,1.0,9033.0,2.0,2.0,2,1.0,Under Construction,1230.0,1.0,0.0,0.0,0.0,0.0,1,38
flat,signature global park,sohna road,0.9,6254.0,3.0,3.0,3,3.0,Relatively New,1599.0,0.0,0.0,0.0,1.0,0.0,1,96
flat,ireo the grand arch,sector 58,2.2,16000.0,2.0,2.0,2,6.0,Relatively New,1244.0,0.0,0.0,0.0,0.0,0.0,1,42
flat,m3m merlin,sector 67,2.65,12945.0,3.0,3.0,3,0.0,Relatively New,2047.1224410969487,0.0,0.0,0.0,0.0,1.0,0,174
flat,dlf the ultima,sector 81,2.4,11412.0,3.0,3.0,3+,12.0,Relatively New,1650.0,0.0,1.0,0.0,0.0,0.0,2,49
flat,emaar mgf palm terraces,sector 66,4.5,10599.0,5.0,5.0,3+,11.0,New Property,3321.0,0.0,1.0,0.0,0.0,0.0,1,105
flat,dlf new town heights,sector 91,1.65,6345.0,4.0,4.0,3+,11.0,Moderately Old,2139.0,0.0,1.0,0.0,0.0,0.0,1,72
flat,experion the heartsong,sector 108,1.25,9259.0,3.0,3.0,3,1.0,Relatively New,1500.0,0.0,1.0,0.0,1.0,0.0,1,174
flat,tulip violet,sector 69,1.6,10139.0,3.0,3.0,2,0.0,Relatively New,1428.0,0.0,0.0,0.0,1.0,0.0,1,49
house,independent,sector 26,12.5,38580.0,5.0,5.0,3+,2.0,Old Property,3240.0,1.0,1.0,1.0,1.0,0.0,0,79
flat,bptp terra,sector 37d,1.65,7530.0,4.0,3.0,3+,6.0,Relatively New,2091.0,0.0,0.0,0.0,0.0,0.0,0,149
house,independent,sector 9,0.6,10753.0,3.0,3.0,1,2.0,Relatively New,558.0,0.0,0.0,0.0,0.0,0.0,1,0
house,independent,sector 3 phase 3 extension,0.75,6410.0,2.0,2.0,0,1.0,Moderately Old,130.0,0.0,0.0,0.0,0.0,0.0,1,0
house,independent,sector 4,0.47,8007.0,2.0,1.0,1,1.0,Moderately Old,624.0,0.0,0.0,1.0,0.0,0.0,1,0
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,3.0,3.0,2,3.0,Relatively New,1650.06777064058,0.0,1.0,0.0,0.0,0.0,1,105
flat,imperia the esfera,sector 37c,0.86,5449.0,2.0,3.0,3,9.0,Relatively New,1442.0,1.0,0.0,0.0,0.0,1.0,1,49
flat,smart world gems,sector 89,1.2,8433.0,3.0,3.0,2,2.0,New Property,1423.0,0.0,0.0,0.0,0.0,0.0,1,45
flat,signature global orchard avenue,sector 93,0.85,14237.0,2.0,2.0,0,10.0,Relatively New,597.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,ambience creacions,sector 22,3.99,12912.0,3.0,5.0,3+,3.0,New Property,2796.0,0.0,1.0,0.0,0.0,0.0,2,102
flat,dlf new town heights,sector 86,1.27,6580.0,3.0,4.0,3,19.0,Relatively New,1800.0,0.0,1.0,0.0,1.0,0.0,1,126
flat,bestech park view ananda,sector 81,0.95,10626.0,2.0,2.0,2,2.0,Relatively New,1112.0,0.0,0.0,0.0,0.0,0.0,0,104
house,row house,sector 105,0.43,9130.0,3.0,3.0,3,2.0,Relatively New,1050.0,0.0,0.0,0.0,0.0,0.0,1,0
house,ss hibiscus,sector 50,12.25,20940.0,5.0,7.0,3+,1.0,Relatively New,5850.0,1.0,1.0,0.0,1.0,1.0,0,160
flat,rk tower,sector 2,0.95,9595.0,2.0,2.0,1,1.0,Relatively New,1100.0,0.0,0.0,0.0,0.0,0.0,1,99
flat,sbr minda sec 1 imt manesar,manesar,0.65,4259.0,3.0,2.0,3+,6.0,Moderately Old,1696.0,0.0,0.0,0.0,0.0,0.0,1,5
house,independent,sector 28,4.5,13889.0,4.0,4.0,0,4.0,Relatively New,3240.0,0.0,0.0,0.0,0.0,0.0,1,0
house,vipul tatvam villa,sector 48,22.0,26667.0,5.0,6.0,3,3.0,Moderately Old,8250.0,0.0,1.0,0.0,0.0,0.0,1,54
flat,paras dews,sector 106,1.14,6000.0,3.0,4.0,3,8.0,Relatively New,1305.0,1.0,1.0,0.0,0.0,0.0,1,49
flat,tulip leaf,sector 69,2.06,11386.0,3.0,3.0,3,16.0,Relatively New,1640.0,0.0,0.0,0.0,0.0,0.0,1,49
flat,m3m urbana,sector 67,0.95,10895.0,1.0,1.0,1,17.0,Relatively New,826.0,0.0,0.0,0.0,0.0,0.0,1,49
house,independent,sector 2,2.95,15989.0,4.0,4.0,3+,2.0,Old Property,1845.0,0.0,0.0,0.0,0.0,0.0,1,27
flat,m3m skycity,sector 65,2.0,15267.0,2.0,2.0,2,16.0,New Property,1186.0,0.0,0.0,0.0,0.0,0.0,0,174
flat,landmark the residency,sector 103,0.9,6666.0,2.0,2.0,2,1.0,Relatively New,1222.0,0.0,0.0,0.0,0.0,0.0,1,44
flat,vatika lifestyle homes,sector 83,1.15,6552.0,3.0,2.0,3,15.0,Relatively New,1588.0,0.0,0.0,0.0,0.0,0.0,1,37
flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,2.0,2.0,2,2.0,Relatively New,778.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,indiabulls centrum park,sector 103,2.45,8521.0,4.0,6.0,3,5.0,Relatively New,2602.0,0.0,1.0,0.0,0.0,0.0,1,38
flat,tata primanti,sector 72,3.21,16050.0,3.0,4.0,3+,15.0,Relatively New,2140.0,0.0,1.0,0.0,0.0,0.0,0,174
flat,signature global park,sohna road,0.65,5637.0,2.0,2.0,2,2.0,Relatively New,1043.0,0.0,0.0,0.0,1.0,0.0,1,118
flat,paras dews,sector 106,1.2,6818.0,3.0,4.0,3+,9.0,Relatively New,1186.0,0.0,1.0,0.0,0.0,0.0,1,174
flat,tulip violet,sector 69,1.66,10134.0,3.0,3.0,2,0.0,Relatively New,1482.0,0.0,0.0,0.0,0.0,0.0,1,157
flat,alpha corp gurgaonone,sector 84,1.52,7904.0,3.0,4.0,3,15.0,Relatively New,1703.0,0.0,1.0,0.0,0.0,0.0,1,92
flat,bestech park view residency,sector 2,1.36,7646.0,3.0,3.0,3+,5.0,Moderately Old,1611.0,0.0,0.0,0.0,0.0,0.0,1,84
house,independent,sector 17a,1.52,19869.0,2.0,2.0,1,1.0,Old Property,105.0,0.0,0.0,0.0,0.0,0.0,1,22
flat,hcbs sports ville,sohna road,0.2,4219.0,1.0,1.0,1,3.0,New Property,474.042156,0.0,0.0,0.0,0.0,0.0,1,71
flat,central park resorts,sector 48,9.3,24926.0,4.0,4.0,3+,10.0,Moderately Old,3831.0,1.0,1.0,1.0,1.0,0.0,0,67
flat,vatika lifestyle homes,sector 83,1.04,5699.0,3.0,2.0,2,2.0,Moderately Old,1500.0,0.0,0.0,0.0,0.0,0.0,1,95
flat,godrej summit,sector 104,1.3,7893.0,3.0,3.0,3,8.0,New Property,1490.0,0.0,0.0,0.0,0.0,1.0,1,103
house,eldeco mansionz,sector 48,4.75,20299.0,7.0,7.0,3,2.0,Moderately Old,2340.0,1.0,0.0,0.0,0.0,0.0,0,33
flat,dlf the primus,sector 82a,1.85,10283.0,3.0,3.0,3+,2.0,Relatively New,1668.0,0.0,0.0,0.0,0.0,0.0,0,44
flat,antriksh heights,sector 84,0.89,4370.0,3.0,3.0,3,8.0,Relatively New,1833.0,0.0,0.0,0.0,1.0,0.0,1,67
flat,zara aavaas,sector 104,0.2,6645.0,1.0,1.0,1,3.0,Relatively New,301.0,0.0,0.0,0.0,0.0,0.0,1,67
flat,pyramid elite,sector 86,0.45,7846.0,2.0,2.0,1,12.0,Under Construction,637.0,0.0,0.0,0.0,0.0,0.0,1,30
flat,unitech harmony,sector 50,2.6,9590.0,3.0,4.0,2,15.0,Relatively New,2700.0,0.0,1.0,0.0,0.0,1.0,0,174
house,independent,sector 27,8.0,26298.0,9.0,9.0,3,4.0,Relatively New,3042.0,1.0,1.0,1.0,1.0,0.0,2,110
house,independent,sector 45,17.0,37778.0,5.0,8.0,3+,3.0,Relatively New,4500.0,1.0,1.0,1.0,1.0,0.0,2,152
house,independent,sector 4,0.5,9259.0,2.0,3.0,2,3.0,Old Property,540.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,m3m woodshire,sector 107,1.21,6227.0,3.0,3.0,3,7.0,Moderately Old,1713.0,0.0,0.0,0.0,0.0,0.0,0,126
flat,m3m woodshire,sector 107,1.8,7623.0,3.0,4.0,3+,2.0,Relatively New,1837.0,0.0,1.0,0.0,0.0,0.0,1,129
flat,godrej,sector 79,1.35,8970.0,3.0,3.0,2,7.0,Relatively New,1362.0,0.0,0.0,0.0,0.0,0.0,1,118
flat,imperia the esfera,sector 37c,0.99,5454.0,3.0,5.0,3+,5.0,Relatively New,1400.0,0.0,1.0,0.0,0.0,0.0,1,49
flat,shree vardhman victoria,sector 70,1.9,9743.0,3.0,3.0,3,10.0,New Property,1765.0,0.0,1.0,1.0,1.0,1.0,1,36
flat,corona gracieux,sector 76,1.05,5949.0,3.0,3.0,3+,7.0,Relatively New,1597.0,0.0,0.0,0.0,0.0,0.0,0,133
flat,bhagwati sadan,sector 12,1.15,5500.0,3.0,4.0,2,2.0,Old Property,2000.0,0.0,1.0,0.0,0.0,1.0,1,0
flat,dlf new town heights,sector 90,1.2,6217.0,3.0,3.0,3+,8.0,Moderately Old,2144.0,0.0,1.0,0.0,1.0,0.0,1,59
flat,tulip white,sector 69,0.9,6787.0,3.0,2.0,3,6.0,Relatively New,1473.0,0.0,0.0,0.0,1.0,0.0,1,121
flat,pyramid urban homes 2,sector 86,0.43,8582.0,2.0,2.0,1,6.0,New Property,557.0,1.0,0.0,0.0,0.0,0.0,1,92
house,international city by sobha phase 1,sector 109,5.75,16429.0,4.0,4.0,2,3.0,Relatively New,4800.0,0.0,1.0,0.0,0.0,0.0,1,146
flat,raheja vedaanta,sector 108,1.0,4854.0,2.0,2.0,2,0.0,Relatively New,2060.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,the castle society,sector 56,2.0,8695.0,4.0,4.0,2,4.0,Under Construction,2081.0,0.0,0.0,0.0,0.0,0.0,1,0
house,vatika independent floors,sector 82,1.4,8235.0,3.0,3.0,2,3.0,New Property,1700.0,0.0,0.0,0.0,1.0,0.0,1,61
flat,m3m soulitude,sector 89,1.25,8784.0,3.0,3.0,2,3.0,New Property,1581.0,1.0,0.0,0.0,0.0,0.0,1,49
flat,emaar gurgaon greens,sector 102,1.54,9333.0,3.0,3.0,3,12.0,Relatively New,1315.0,0.0,1.0,0.0,0.0,0.0,1,61
house,independent,sector 25,13.5,19286.0,9.0,9.0,0,1.0,Relatively New,7000.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,sobha city,sector 108,2.6,15195.0,3.0,3.0,2,8.0,Relatively New,1711.0891740704178,0.0,0.0,0.0,0.0,0.0,1,99
flat,imperia the esfera,sector 37c,0.95,5703.0,2.0,2.0,0,17.0,Under Construction,1578.0,0.0,1.0,0.0,0.0,0.0,1,66
flat,signature global park 4,sector 36,0.82,7585.0,3.0,2.0,2,2.0,New Property,850.0,0.0,0.0,0.0,0.0,0.0,1,8
flat,bestech park view ananda,sector 81,1.35,7541.0,3.0,3.0,3+,10.0,Moderately Old,1438.0,0.0,0.0,1.0,0.0,0.0,0,72
flat,supertech hues,sector 68,1.0,8474.0,2.0,2.0,3,23.0,New Property,1311.0,0.0,0.0,0.0,0.0,0.0,1,49
flat,m3m skywalk,sector 74,1.54,10814.0,2.0,2.0,3+,15.0,Relatively New,1200.0,0.0,0.0,0.0,0.0,1.0,1,137
flat,sobha city,sector 108,4.1,23401.0,4.0,5.0,3,25.0,New Property,2343.0,1.0,1.0,0.0,0.0,0.0,2,97
flat,m3m golfestate,sector 65,5.9,17543.0,3.0,3.0,3,9.0,Moderately Old,3043.0,1.0,0.0,0.0,0.0,0.0,2,21
flat,south city 1 floors,sector 41,3.4,11724.0,4.0,4.0,3,0.0,Old Property,2900.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,maruti kunj,sector 11,0.8,5161.0,3.0,2.0,0,0.0,Old Property,1403.0,0.0,0.0,0.0,0.0,0.0,1,8
flat,bestech park view spa next,sector 67,3.32,12599.0,4.0,5.0,3+,12.0,Moderately Old,2385.0,0.0,1.0,0.0,0.0,0.0,0,174
flat,ss the leaf,sector 85,2.1,7467.0,4.0,4.0,3,7.0,Relatively New,2600.0,1.0,1.0,0.0,1.0,0.0,1,49
house,bhim garh kheri,sector 3,0.75,6410.0,4.0,2.0,2,2.0,Old Property,1170.0,0.0,0.0,0.0,0.0,0.0,1,16
house,housing board colony,sector 28,3.5,25926.0,2.0,6.0,3,3.0,Relatively New,1350.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,signature global park,sohna road,0.53,6386.0,2.0,2.0,2,2.0,Relatively New,913.0,0.0,0.0,0.0,1.0,0.0,1,168
flat,godrej nature plus,sector 33,1.45,15664.0,3.0,2.0,3+,20.0,Under Construction,118.0,1.0,0.0,0.0,0.0,0.0,1,144
flat,emaar mgf emerald estate,sector 65,1.7,21013.0,3.0,3.0,3,7.0,Relatively New,1081.0,1.0,0.0,0.0,0.0,0.0,0,116
flat,shree vardhman flora,sector 90,0.66,5076.0,2.0,2.0,3,4.0,Relatively New,1122.0,1.0,0.0,0.0,0.0,0.0,1,119
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,4.0,4.0,3,2.0,Relatively New,1650.06777064058,1.0,0.0,0.0,0.0,0.0,0,89
flat,tulip violet,sector 69,1.2,10909.0,2.0,3.0,0,0.0,Relatively New,1100.0,0.0,0.0,0.0,0.0,0.0,1,54
